"id","sl.cat","ta.cat","act.cat","northing","easting","date_time"
"blanca",2,3,3,7874830,626055,1562115940
"blanca",1,NA,NA,7874877,626061,1562117184
"blanca",1,3,NA,7874894,626072,1562117634
"blanca",1,7,3,7874935,626056,1562118018
"blanca",1,7,NA,7874940,626043,1562118437
"blanca",2,NA,NA,7874830,625990,1562119692
"blanca",1,6,3,7874804,626003,1562120117
"blanca",1,4,NA,7874781,625987,1562120542
"blanca",2,NA,NA,7874921,625926,1562192233
"blanca",1,7,2,7874933,625898,1562192652
"blanca",1,3,NA,7874939,625901,1562193119
"blanca",1,3,NA,7874935,625918,1562193503
"blanca",1,7,3,7874984,625957,1562193953
"blanca",1,6,NA,7875003,625970,1562194337
"blanca",1,7,3,7875022,625959,1562194785
"blanca",1,8,NA,7875019,625956,1562195177
"blanca",1,2,NA,7875042,625947,1562195609
"blanca",1,8,2,7875039,625939,1562196017
"blanca",1,6,NA,7875035,625935,1562196446
"blanca",1,2,1,7875046,625933,1562196881
"blanca",1,6,NA,7875064,625926,1562197272
"blanca",1,8,NA,7875063,625921,1562197693
"blanca",1,6,4,7875054,625880,1562198125
"blanca",1,1,NA,7875093,625920,1562198543
"blanca",1,2,4,7875074,625918,1562198958
"blanca",1,8,NA,7875077,625951,1562199373
"blanca",7,4,NA,7874720,626379,1562199810
"blanca",7,1,NA,7875050,625925,1562200264
"blanca",2,2,NA,7875080,625994,1562200643
"blanca",1,8,3,7875108,625980,1562201065
"blanca",3,8,NA,7874997,625800,1562201523
"blanca",4,10,4,7875101,626011,1562201943
"blanca",2,5,3,7875121,626113,1562202354
"blanca",1,NA,NA,7875060,626031,1562203580
"blanca",1,8,NA,7875088,626030,1562204023
"blanca",1,10,4,7875037,626028,1562204423
"blanca",2,5,NA,7874942,625970,1562204845
"blanca",2,10,3,7875019,626046,1562205285
"blanca",1,5,NA,7875029,626083,1562205689
"blanca",1,9,NA,7875060,626053,1562206114
"blanca",1,NA,2,7874978,626008,1562207371
"blanca",1,3,NA,7874969,625972,1562207786
"blanca",2,NA,NA,7874797,625910,1562209042
"blanca",1,NA,NA,7874699,625864,1562278643
"blanca",2,7,3,7874618,625889,1562279049
"blanca",1,6,NA,7874582,625920,1562279476
"blanca",1,4,NA,7874554,625914,1562279897
"blanca",1,7,3,7874550,625917,1562280327
"blanca",1,3,NA,7874542,625911,1562280733
"blanca",1,5,4,7874528,625885,1562281156
"blanca",1,9,NA,7874495,625938,1562281615
"blanca",1,5,NA,7874470,625963,1562282033
"blanca",1,3,2,7874445,625947,1562282436
"blanca",1,2,NA,7874467,625938,1562282878
"blanca",1,9,3,7874424,625900,1562283304
"blanca",1,9,NA,7874415,625922,1562283697
"blanca",3,9,2,7874604,625809,1562284143
"blanca",4,10,2,7874381,625917,1562284548
"blanca",1,7,NA,7874387,625970,1562284941
"blanca",1,6,4,7874393,626008,1562285404
"blanca",2,NA,4,7874563,625978,1562286619
"blanca",1,10,NA,7874514,625958,1562287049
"blanca",1,8,5,7874503,625985,1562287504
"blanca",1,6,NA,7874495,626031,1562287896
"blanca",1,NA,NA,7874524,626103,1562289156
"blanca",2,6,3,7874608,626170,1562289589
"blanca",1,10,NA,7874576,626126,1562289998
"blanca",2,2,NA,7874690,626106,1562290413
"blanca",2,10,3,7874602,626117,1562290828
"blanca",2,2,NA,7874678,626023,1562291251
"blanca",2,NA,NA,7874617,626031,1562294175
"blanca",2,5,NA,7874640,626122,1562294597
"blanca",1,9,NA,7874647,626117,1562295063
"blanca",1,4,NA,7874687,626137,1562295465
"blanca",1,1,3,7874647,626132,1562295892
"blanca",1,NA,3,7874594,625979,1562297121
"blanca",1,NA,NA,7874631,625976,1562298418
"blanca",1,10,NA,7874618,625964,1562298802
"blanca",1,4,3,7874622,625954,1562299223
"blanca",1,4,NA,7874678,625940,1562299643
"blanca",1,3,4,7874690,625993,1562300069
"blanca",1,5,NA,7874687,626008,1562300523
